motnumer,ar
38296,2019
37403,2018
36622,2017
35586,2016
33503,2015
32265,2014
29465,2013
26463,2012
23425,2011
19847,2010
17548,2009
16788,2008
14843,2007
12486,2006
8585,2005
6366,2004
3983,2003
1483,2002
243,2001
10547,2000
10546,1999
10545,1998
10544,1997
10543,1996
10525,1995
10524,1994
10523,1993
10506,1992
10505,1991
10504,1990
10503,1989
10487,1988
10486,1987
10485,1986
10484,1985
10483,1984
10463,1983
10443,1982
10425,1981
10424,1980
10423,1980
10803,1979
10403,1979
10385,1978
10384,1977
10383,1976
10365,1975
10810,1974
10364,1974
10363,1973
10347,1972
10804,1971
10346,1971
10809,1970
10345,1970
10344,1969
10343,1968
10808,1967
10326,1967
10325,1966
10806,1965
10324,1965
10805,1964
10323,1964
10303,1963
10289,1962
10288,1962
10287,1961
10275,1960
10274,1959
10284,1958
10273,1958
10283,1957
10272,1957
10271,1956
10270,1955
10269,1954
10266,1953
10268,1953
10267,1953
10265,1952
10264,1951
10263,1950
10258,1949
10257,1949
10784,1948
10256,1947
10255,1946
10254,1945
10783,1944
10253,1943
10252,1942
10251,1942
10250,1941
10249,1940
10248,1939
10247,1938
10246,1937
10245,1936
10244,1935
10243,1934
10241,1933
10240,1932
10239,1931
10238,1930
10286,1929
10237,1928
10236,1927
10235,1926
10234,1926
10233,1925
10232,1924
10231,1923
10230,1922
10229,1921
10228,1920
10227,1919
10226,1918
10225,1917
10224,1916
10223,1916
9704,1915
17783,1914
17784,1913
9683,1912
